,f1-score positive class,precision positive class,recall positive class,F1 macro avg,PR AUC
Logistic Regression,0.11421319796954314,0.06089309878213803,0.9183673469387755,0.5508937603049553,0.762201765201786
Logistic Regression optimal threshold,0.8247422680412371,0.8333333333333334,0.8163265306122449,0.9122216571895274,0.762201765201786
Random Forest,0.8522727272727273,0.9615384615384616,0.7653061224489796,0.9260220759126234,0.863160010917406
Random Forest optimal threshold,0.8852459016393442,0.9529411764705882,0.826530612244898,0.9425306358233208,0.863160010917406
XGBoost,0.8645833333333334,0.8829787234042553,0.8469387755102041,0.9321773628647464,0.8833192785365153
XGBoost optimal threshold,0.8972972972972973,0.9540229885057471,0.8469387755102041,0.9485651240880318,0.8833192785365153
Voting Classifier,0.6796875,0.5506329113924051,0.8877551020408163,0.8394830504187634,0.8620044541199428
Voting Classifier optimal threshold,0.8817204301075269,0.9318181818181818,0.8367346938775511,0.9407635015543173,0.8620044541199428
Neural Network,0.8137254901960784,0.7830188679245284,0.8469387755102041,0.9066956680667342,0.844836810442987
Neural Network optimal threshold,0.8415300546448088,0.9058823529411765,0.7857142857142857,0.9206375447083954,0.844836810442987
